arquivo,box,digito
chars1sl_1.jpg,"(0, 477, 22, 42)",1
chars1sl_2.jpg,"(0, 199, 22, 21)",0
chars1sl_3.jpg,"(0, 195, 26, 29)",0
chars1sl_4.jpg,"(10, 480, 6, 31)",1
chars1sl_5.jpg,"(12, 654, 22, 25)",-1
chars1sl_6.jpg,"(12, 365, 21, 26)",-1
chars1sl_7.jpg,"(14, 600, 51, 38)",-1
chars1sl_8.jpg,"(14, 126, 37, 35)",5
chars1sl_9.jpg,"(19, 302, 29, 41)",1
chars1sl_10.jpg,"(20, 705, 42, 44)",5
chars1sl_11.jpg,"(20, 483, 35, 38)",0
chars1sl_12.jpg,"(22, 417, 35, 40)",5
chars1sl_13.jpg,"(31, 189, 26, 36)",5
chars1sl_14.jpg,"(33, 654, 21, 25)",-1
chars1sl_15.jpg,"(33, 602, 45, 34)",0
chars1sl_16.jpg,"(33, 365, 21, 26)",-1
chars1sl_17.jpg,"(44, 85, 33, 15)",-1
chars1sl_18.jpg,"(57, 654, 17, 25)",1
chars1sl_19.jpg,"(57, 364, 16, 28)",1
chars1sl_20.jpg,"(59, 303, 25, 35)",1
chars1sl_21.jpg,"(60, 183, 13, 43)",-1
chars1sl_22.jpg,"(64, 37, 16, 48)",1
chars1sl_23.jpg,"(65, 459, 10, 62)",-1
chars1sl_24.jpg,"(66, 136, 39, 25)",7
chars1sl_25.jpg,"(72, 415, 29, 16)",-1
chars1sl_26.jpg,"(72, 213, 26, 15)",-1
chars1sl_27.jpg,"(77, 711, 47, 32)",7
chars1sl_28.jpg,"(81, 475, 17, 40)",1
chars1sl_29.jpg,"(83, 198, 8, 18)",1
chars1sl_30.jpg,"(84, 363, 6, 31)",-1
chars1sl_31.jpg,"(85, 653, 6, 27)",-1
chars1sl_32.jpg,"(93, 370, 16, 20)",-1
chars1sl_33.jpg,"(94, 659, 16, 20)",-1
chars1sl_34.jpg,"(95, 202, 27, 25)",2
chars1sl_35.jpg,"(96, 481, 33, 37)",2
chars1sl_36.jpg,"(96, 307, 20, 25)",-1
chars1sl_37.jpg,"(97, 597, 19, 24)",-1
chars1sl_38.jpg,"(97, 437, 8, 15)",-1
chars1sl_39.jpg,"(98, 286, 132, 70)",7
chars1sl_40.jpg,"(113, 371, 5, 19)",-1
chars1sl_41.jpg,"(114, 659, 5, 20)",-1
chars1sl_42.jpg,"(115, 131, 30, 41)",8
chars1sl_43.jpg,"(120, 135, 21, 16)",-1
chars1sl_44.jpg,"(121, 659, 15, 20)",-1
chars1sl_45.jpg,"(121, 415, 77, 103)",-1
chars1sl_46.jpg,"(121, 370, 14, 20)",-1
chars1sl_47.jpg,"(123, 460, 20, 59)",-1
